name,address,type,gauges,bribe_ca
vAMM-USDT/FRAX,0xA4159F83EEa8fC2a66284Cd513D2339aeB1444Aa,vAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
vAMM-USDT/DEI,0x9d49bc4092C9FA2aA29B2AFC2723F9Ca97dC9374,vAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
vAMM-LQDR/THE,0xb33d77159EA381176ab1Eb11475fd65912d83728,vAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
sAMM-USDC/FRAX,0x512909b2bCeA4348Ea3284Bd167095deA10F2F40,sAMM,0xaaF84e2264be6e7264BB7529acd740d3c18f8E02,0x21Ed9d85223AF0be2F3b551FAdce3a31A4A6C91C
vAMM-DEI/BUSD,0xDC2b0436E63bD8654aEA52d1aCD3Ae4F9716A6F4,vAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
vAMM-FRAX/CUSD,0x85D65c1cE99B2639985166C4A25d4c44EE1601bc,vAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
vAMM-ETS Alpha/BUSD,0xde34Df68795f0D2b07F64285Ba83601889A6995C,vAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
sAMM-ETS Alpha/BUSD,0xb23a34cc853E47D8bfd148Baf066B6F1541571c9,sAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
sAMM-IPAD/WBNB,0xE57E875F4dc33bca96C888a5BD3214856D8faa46,sAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
sAMM-XCAD/THE,0x7c7Ed76Dd95ffA7b899EE8Cc61aA8362d58aC420,sAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
vAMM-USDT/THE,0xA051eF9A6FBea340Bb734d022e7B6a3aD9fD9B06,vAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
vAMM-HAY/THE,0x0f8Bbc44650BF30F53343c3D2BF5c10356B64bD5,vAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
vAMM-WBNB/SLM,0x13660309E0001884d53e86Ea21f1EB1D6E330A05,vAMM,0xF71438096d614B7164Ce03137a6Ffa724627D262,0x71F02Ac30167B01D8B47D89307277B411F71f4ae
sAMM-USDT/THE,0xdC81698F98e275785741F96961f246368FDd5866,sAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
sAMM-USDC/FTM,0xebbaFc3781C1C48d71210ec39B6Ab0dADC748162,sAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
sAMM-C98/CUSD,0x12D06Ce4Bf2149909F6E4808A48c254d9C07102b,sAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
sAMM-USDT/FITFI,0x0348D8fabbcB84069662e454E4f714DcD5d0C412,sAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
sAMM-OATH/LQDR,0xF2e2ADb0bec256184cF72DdF1642CEE7A6706866,sAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
sAMM-IDIA/BUSD,0xf10c6a25A0fe12B69BE26281259EE5994BbCdB9c,sAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
vAMM-FS/BUSD,0x6440889ed931cA08a0A06b064CB233138e8a263A,vAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
vAMM-FS/USDC,0xeD6A13A30760C3a3795C5F5d7b6F911a3de0edD9,vAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
sAMM-PRIMAL/BUSD,0xC6B5289f0Db1738f8C1D26cC09942028527bdDA3,sAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
sAMM-BUSD/SLM,0x35d7d65c65fb3105b838292F7692DA414F1b45bf,sAMM,0xf690B803359ddFAf5BCF35Ad392e3065Eeb4170E,0x7Ec542f3C6bfF09ce20bBfA6beB31A0d4d0C5ae7
sAMM-DAI/MAI,0xe03e9EcC7d4C45c6985bfB909D9Bb3ACa5Ef18c0,sAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
vAMM-jBRL/BRZ,0xB95c58277DdE24801C2A460BceA25a2d28A1591B,vAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
vAMM-FFH/WBNB,0x3d3F41D3Faaa4F3e91F9dc65A2790F809e045bB7,vAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
vAMM-MAI/FXS,0x10F9f7355Fb75C73718Afad8AdBc7BF72c5A0715,vAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
