name,address,type,algebra_pool,new_symbol,new_type,gauges,fee_ca,bribe_ca,new_name
aCASH-USDT 5587,0x9c95ee2db6B6d167ad26B65E85D3E642FfE85587,CL,0x45F1Fdb00fB78174196Fa109A27Cdbd07f67F85e,CASH/USDT,CL_Stable,0x6Cc6EaaB8D850991f9C4C88Fb8898e7B68F8aFa9,0xA3D0B523c190c3176F0aEcfc6d9998A6A9d3Bd4f,0xAFdF574241eaeCAF561CC8912820138af94eE1b6,CASH/USDT - CL_Stable
vAMM-FIL/WBNB,0x1f06C7E323Bc3A5C94Bb6B760C128830cDF6ADfB,vAMM,,FIL/BNB,Volatile,0x37E874371024E98267878796170873B440ce5f74,0xD7BE63c6E076B68F78C0Be2794F62DAA653dcEa4,0xA3Ee0978478Ea76348bf3Be5fcd6B01150056FCC,FIL/BNB - Volatile
aUSDT-USDC fBF2,0x5EEca990E9B7489665F4B57D27D92c78BC2AfBF2,CL,0x1b9a1120a17617D8eC4dC80B921A9A1C50Caef7d,USDT/USDC,CL_Stable,0x1011530830c914970CAa96a52B9DA1C709Ea48fb,0x18548BCF71bD9D71820AF952dc89abD5F298ABd9,0x2a2bb61Dd8DE7701473f57de52162e83624D0cb3,USDT/USDC - CL_Stable
aBTCB-WBNB 4D3F,0xBd2383816Bab04E46b69801CCa7e92D34aB94D3F,CL,0x6B67112aa7b45E8CdC0a93B8D66A6A36e68ae8e5,BTCB/BNB,Wide,0xb75942D49e7F455C47DebBDCA81DF67244fe7d40,0x1D01dC1Caf7fE93efad71970d8e07f64AE5BBB5d,0x157e9c18B51dAAeFd9E6A1f41586C20E6870f0d1,BTCB/BNB - Wide
aLTC-WBNB 0C62,0x1D411b4E0f7A8bc2F3d1c2FBaDdCe46f3f2F0C62,CL,0x320e85137bB10157BB8BBB22a912D516f8296cb5,LTC/BNB,Narrow,0xA72d8bA4868F817a4a908216cA1855d28c3Fa4c3,0xA1F2C952715d600502a754A73853Bd3014E0129e,0x7eE53533A0c3844adBB1AB4a37801a07141e31c6,LTC/BNB - Narrow
vAMM-DAO/BUSD,0xF81b6B8aAaD4c37F6F2E8Aa9988f28ea8E82Bb49,vAMM,,DAO/BUSD,Volatile,0xF18797c8F905EF9c1342Bbc6241A9d6e2A179e72,0xF6304f7e065d7fb43401fF797B34c554FA83Eed5,0xD0D2C3dE665fBED9275cdA3B610804872970C2cE,DAO/BUSD - Volatile
DEShare 8996,0x430AebFF902AB1f9D76B07b621aa611D0A0C8996,CL,0x8b41d72def3867E19f2285B45DA655e24928018F,ETH/stkBNB,DefiEdge,0x0C0877E20419A2b7A6Df20738f0E8f66851E02e3,0xAcC53b7dc0C13B9F8b8c5526a97c42991c58ba45,0xA260fcE4368B4944045888864E8f2Af7ff84C1C1,ETH/stkBNB - DefiEdge
vAMM-WBNB/NFTB,0xC03D86b6685Aec46909eA5c54943e2a1238E02Ac,vAMM,,BNB/NFTB,Volatile,0x5F12C7D52E0D91C320FB9bf7Ad148EB8806FE38d,0x4533aDCc18a316EeC311d84dDae15A98CfAeF300,0x51961804A1DD83C6e5bC47e5377103df81D620C4,BNB/NFTB - Volatile
vAMM-BNBx/FRAX,0x314d95096e49fDe9ebb68aD7E162b6eDd8D4352A,vAMM,,BNBx/FRAX,Volatile,0xD910fA9f7E9a9A553F93737F53A0874e22B2c493,0x7b4DB9eB17B7493062E33CBEfd13dB783F994cEf,0xe0904e2076f8E08D24929362602Fdc218F79b722,BNBx/FRAX - Volatile
aUSDT-WBNB CDA2,0x3ec1FFd5dc29190588608Ae9Fd4f93750e84CDA2,CL,0xD405b976Ac01023c9064024880999fC450A8668b,USDT/BNB,Narrow,0x56996C3686E131A73E512d35308f348f987Bc0D5,0xF0939d57eDAF3642637f0c95F475901FCf11Bf8B,0x944c4804233bD525301B39A71F86BE1aA9d9bFD4,USDT/BNB - Narrow
IV-31-THE 1Cb3,0x16A8e3A8390766315A4f88e7c54dE53EF3df1Cb3,CL,0x28b23D6ad0E440a37994eb49dc0b62dBCDeA99A9,ABOND/ICHI,ICHI,0x9fF726DaA390f3224439D94ea70c2f3fC832f3c2,0xe18b8B3125271Fc0FCA6493b567940Cc2b5079B8,0xb7B6733c8411891F6Bd082FEBCec34f9678077A9,ABOND/ICHI - ICHI
vAMM-USDC/THE,0xC6376e5452EBd75cD4dE8e0d597f66cA38c1FA77,vAMM,,USDC/THE,Volatile,0x099A84ED38bb63b03bfa2AA1021Df3cED988d01a,0x278edA187a1d975A557453DdEd7184140A10CcB8,0xd5c01b12109e20816834F62cf4f3DB3c43BcBa16,USDC/THE - Volatile
DEShare 31eD,0xfF44dB9498ae6dFdda1e9a5a136EABC7e2B931eD,CL,0x37CbdBb97C34ba577ADbFbB80b517cD6caB636E8,BNB/SNS,DefiEdge,0x2896cA367Bc972DE5Cc5E0387DfDd2633c20d232,0xB844988042C1Ffe685354b1c385ab18E62e701d2,0xe75E8ACa984209d8b3d7F99F87137Ea793324C80,BNB/SNS - DefiEdge
