[2023-03-06 00:36:46,990] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-03-06 00:36:51,118] 	INFO 	68 	day_data.py 	<module>() 	Day Data Ended
[2023-03-06 00:36:51,944] 	INFO 	28 	pair_data.py 	<module>() 	ID Data Started
[2023-03-06 00:37:20,790] 	INFO 	66 	pair_data.py 	<module>() 	ID Data Ended
[2023-03-06 00:37:20,791] 	INFO 	69 	pair_data.py 	<module>() 	Pair Data Started
[2023-03-06 00:38:55,419] 	INFO 	135 	pair_data.py 	<module>() 	Pair Data Ended
[2023-03-06 00:38:56,274] 	INFO 	30 	bribe_data.py 	<module>() 	ID Data Started
[2023-03-06 00:39:26,008] 	INFO 	72 	bribe_data.py 	<module>() 	ID Data Ended
[2023-03-06 00:39:26,008] 	INFO 	75 	bribe_data.py 	<module>() 	Bribe Data Started
[2023-03-06 00:41:53,366] 	INFO 	174 	bribe_data.py 	<module>() 	Bribe Data Ended
[2023-03-06 02:18:54,559] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-03-06 02:18:59,923] 	INFO 	68 	day_data.py 	<module>() 	Day Data Ended
[2023-03-06 02:19:01,029] 	INFO 	28 	pair_data.py 	<module>() 	ID Data Started
[2023-03-06 02:19:41,535] 	INFO 	66 	pair_data.py 	<module>() 	ID Data Ended
[2023-03-06 02:19:41,536] 	INFO 	69 	pair_data.py 	<module>() 	Pair Data Started
[2023-03-06 02:21:21,767] 	INFO 	135 	pair_data.py 	<module>() 	Pair Data Ended
[2023-03-06 02:21:22,955] 	INFO 	30 	bribe_data.py 	<module>() 	ID Data Started
[2023-03-06 02:21:56,590] 	INFO 	72 	bribe_data.py 	<module>() 	ID Data Ended
[2023-03-06 02:21:56,590] 	INFO 	75 	bribe_data.py 	<module>() 	Bribe Data Started
[2023-03-06 02:24:46,195] 	INFO 	174 	bribe_data.py 	<module>() 	Bribe Data Ended
[2023-03-06 03:14:55,727] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-03-06 03:15:00,676] 	INFO 	68 	day_data.py 	<module>() 	Day Data Ended
[2023-03-06 03:15:01,732] 	INFO 	28 	pair_data.py 	<module>() 	ID Data Started
[2023-03-06 03:15:38,452] 	INFO 	66 	pair_data.py 	<module>() 	ID Data Ended
[2023-03-06 03:15:38,452] 	INFO 	69 	pair_data.py 	<module>() 	Pair Data Started
[2023-03-06 03:17:17,608] 	INFO 	135 	pair_data.py 	<module>() 	Pair Data Ended
[2023-03-06 03:17:18,691] 	INFO 	30 	bribe_data.py 	<module>() 	ID Data Started
[2023-03-06 03:17:54,035] 	INFO 	72 	bribe_data.py 	<module>() 	ID Data Ended
[2023-03-06 03:17:54,035] 	INFO 	75 	bribe_data.py 	<module>() 	Bribe Data Started
[2023-03-06 03:20:29,196] 	INFO 	174 	bribe_data.py 	<module>() 	Bribe Data Ended
[2023-03-06 04:08:33,467] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-03-06 04:08:37,719] 	INFO 	68 	day_data.py 	<module>() 	Day Data Ended
[2023-03-06 04:08:38,588] 	INFO 	28 	pair_data.py 	<module>() 	ID Data Started
[2023-03-06 04:09:07,809] 	INFO 	66 	pair_data.py 	<module>() 	ID Data Ended
[2023-03-06 04:09:07,809] 	INFO 	69 	pair_data.py 	<module>() 	Pair Data Started
[2023-03-06 04:10:44,215] 	INFO 	135 	pair_data.py 	<module>() 	Pair Data Ended
[2023-03-06 04:10:45,074] 	INFO 	30 	bribe_data.py 	<module>() 	ID Data Started
[2023-03-06 04:11:14,225] 	INFO 	72 	bribe_data.py 	<module>() 	ID Data Ended
[2023-03-06 04:11:14,225] 	INFO 	75 	bribe_data.py 	<module>() 	Bribe Data Started
[2023-03-06 04:13:40,788] 	INFO 	174 	bribe_data.py 	<module>() 	Bribe Data Ended
[2023-03-06 05:07:12,539] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-03-06 05:07:16,846] 	INFO 	68 	day_data.py 	<module>() 	Day Data Ended
[2023-03-06 05:07:17,820] 	INFO 	28 	pair_data.py 	<module>() 	ID Data Started
[2023-03-06 05:07:45,572] 	INFO 	66 	pair_data.py 	<module>() 	ID Data Ended
[2023-03-06 05:07:45,572] 	INFO 	69 	pair_data.py 	<module>() 	Pair Data Started
[2023-03-06 05:09:13,343] 	INFO 	135 	pair_data.py 	<module>() 	Pair Data Ended
[2023-03-06 05:09:14,282] 	INFO 	30 	bribe_data.py 	<module>() 	ID Data Started
[2023-03-06 05:09:41,771] 	INFO 	72 	bribe_data.py 	<module>() 	ID Data Ended
[2023-03-06 05:09:41,771] 	INFO 	75 	bribe_data.py 	<module>() 	Bribe Data Started
[2023-03-06 05:11:55,385] 	INFO 	174 	bribe_data.py 	<module>() 	Bribe Data Ended
