[2023-05-01 00:33:24,382] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-05-01 00:33:29,116] 	INFO 	68 	day_data.py 	<module>() 	Day Data Ended
[2023-05-01 00:33:30,054] 	INFO 	36 	pair_data.py 	<module>() 	Pair Data Started
[2023-05-01 00:35:57,229] 	INFO 	105 	pair_data.py 	<module>() 	Pair Data Ended
[2023-05-01 00:35:58,123] 	INFO 	39 	bribe_data.py 	<module>() 	Bribe Data Started
[2023-05-01 00:39:14,055] 	ERROR 	152 	bribe_data.py 	<module>() 	Error occurred during Bribe Data process. Error: Expecting value: line 1 column 1 (char 0)
[2023-05-01 00:39:14,687] 	INFO 	24 	revenue_data.py 	<module>() 	Revenue Data Started
[2023-05-01 00:39:22,668] 	INFO 	72 	revenue_data.py 	<module>() 	Revenue Data Ended
[2023-05-01 00:58:06,065] 	INFO 	23 	id_data_v2.py 	<module>() 	ID Data Started
[2023-05-01 01:00:28,074] 	INFO 	119 	id_data_v2.py 	<module>() 	ID Data Ended
[2023-05-01 01:59:40,452] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-05-01 01:59:44,502] 	INFO 	68 	day_data.py 	<module>() 	Day Data Ended
[2023-05-01 01:59:45,907] 	INFO 	36 	pair_data.py 	<module>() 	Pair Data Started
[2023-05-01 02:02:09,329] 	INFO 	105 	pair_data.py 	<module>() 	Pair Data Ended
[2023-05-01 02:02:10,256] 	INFO 	39 	bribe_data.py 	<module>() 	Bribe Data Started
[2023-05-01 02:05:36,582] 	ERROR 	152 	bribe_data.py 	<module>() 	Error occurred during Bribe Data process. Error: Expecting value: line 1 column 1 (char 0)
[2023-05-01 02:05:37,240] 	INFO 	24 	revenue_data.py 	<module>() 	Revenue Data Started
[2023-05-01 02:05:43,827] 	INFO 	72 	revenue_data.py 	<module>() 	Revenue Data Ended
[2023-05-01 02:31:37,979] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-05-01 02:31:41,597] 	INFO 	68 	day_data.py 	<module>() 	Day Data Ended
[2023-05-01 02:31:43,070] 	INFO 	36 	pair_data.py 	<module>() 	Pair Data Started
[2023-05-01 02:34:04,679] 	INFO 	105 	pair_data.py 	<module>() 	Pair Data Ended
[2023-05-01 02:34:05,789] 	INFO 	39 	bribe_data.py 	<module>() 	Bribe Data Started
[2023-05-01 02:38:21,554] 	ERROR 	152 	bribe_data.py 	<module>() 	Error occurred during Bribe Data process. Error: Expecting value: line 1 column 1 (char 0)
[2023-05-01 02:38:22,319] 	INFO 	24 	revenue_data.py 	<module>() 	Revenue Data Started
[2023-05-01 02:38:30,994] 	INFO 	72 	revenue_data.py 	<module>() 	Revenue Data Ended
[2023-05-01 03:11:43,769] 	INFO 	23 	id_data_v2.py 	<module>() 	ID Data Started
[2023-05-01 03:13:33,361] 	INFO 	119 	id_data_v2.py 	<module>() 	ID Data Ended
[2023-05-01 04:12:46,349] 	INFO 	23 	id_data_v2.py 	<module>() 	ID Data Started
[2023-05-01 04:15:14,990] 	INFO 	119 	id_data_v2.py 	<module>() 	ID Data Ended
[2023-05-01 05:10:26,050] 	INFO 	23 	id_data_v2.py 	<module>() 	ID Data Started
[2023-05-01 05:11:40,276] 	INFO 	119 	id_data_v2.py 	<module>() 	ID Data Ended
[2023-05-01 06:08:51,913] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-05-01 06:08:56,563] 	INFO 	68 	day_data.py 	<module>() 	Day Data Ended
[2023-05-01 06:08:58,074] 	INFO 	36 	pair_data.py 	<module>() 	Pair Data Started
[2023-05-01 06:11:28,232] 	INFO 	105 	pair_data.py 	<module>() 	Pair Data Ended
[2023-05-01 06:11:29,475] 	INFO 	39 	bribe_data.py 	<module>() 	Bribe Data Started
[2023-05-01 06:15:40,014] 	ERROR 	152 	bribe_data.py 	<module>() 	Error occurred during Bribe Data process. Error: Expecting value: line 1 column 1 (char 0)
[2023-05-01 06:15:41,051] 	INFO 	24 	revenue_data.py 	<module>() 	Revenue Data Started
[2023-05-01 06:15:49,525] 	INFO 	72 	revenue_data.py 	<module>() 	Revenue Data Ended
[2023-05-01 07:06:42,212] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-05-01 07:06:46,154] 	INFO 	68 	day_data.py 	<module>() 	Day Data Ended
[2023-05-01 07:06:47,290] 	INFO 	36 	pair_data.py 	<module>() 	Pair Data Started
[2023-05-01 07:08:54,326] 	INFO 	105 	pair_data.py 	<module>() 	Pair Data Ended
[2023-05-01 07:08:55,293] 	INFO 	39 	bribe_data.py 	<module>() 	Bribe Data Started
[2023-05-01 07:12:11,312] 	ERROR 	152 	bribe_data.py 	<module>() 	Error occurred during Bribe Data process. Error: Expecting value: line 1 column 1 (char 0)
[2023-05-01 07:12:12,026] 	INFO 	24 	revenue_data.py 	<module>() 	Revenue Data Started
[2023-05-01 07:12:17,981] 	INFO 	72 	revenue_data.py 	<module>() 	Revenue Data Ended
[2023-05-01 08:13:27,457] 	INFO 	23 	id_data_v2.py 	<module>() 	ID Data Started
[2023-05-01 08:14:49,815] 	INFO 	119 	id_data_v2.py 	<module>() 	ID Data Ended
[2023-05-01 09:06:40,565] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-05-01 09:06:44,647] 	INFO 	68 	day_data.py 	<module>() 	Day Data Ended
[2023-05-01 09:06:45,832] 	INFO 	36 	pair_data.py 	<module>() 	Pair Data Started
[2023-05-01 09:08:52,477] 	INFO 	105 	pair_data.py 	<module>() 	Pair Data Ended
[2023-05-01 09:08:53,406] 	INFO 	39 	bribe_data.py 	<module>() 	Bribe Data Started
[2023-05-01 09:11:49,954] 	ERROR 	152 	bribe_data.py 	<module>() 	Error occurred during Bribe Data process. Error: Expecting value: line 1 column 1 (char 0)
[2023-05-01 09:11:50,611] 	INFO 	24 	revenue_data.py 	<module>() 	Revenue Data Started
[2023-05-01 09:11:54,476] 	INFO 	72 	revenue_data.py 	<module>() 	Revenue Data Ended
