[2023-02-10 11:04:21,948] 	INFO 	60 	day_data.py 	<module>() 	Day Data Ended
[2023-02-10 11:04:22,840] 	INFO 	28 	pair_data.py 	<module>() 	ID Data Started
[2023-02-10 11:04:42,619] 	INFO 	56 	pair_data.py 	<module>() 	ID Data Ended
[2023-02-10 11:04:42,619] 	INFO 	59 	pair_data.py 	<module>() 	Pair Data Started
[2023-02-10 11:05:07,032] 	INFO 	131 	pair_data.py 	<module>() 	Pair Data Ended
[2023-02-10 12:10:44,253] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-02-10 12:10:47,063] 	INFO 	60 	day_data.py 	<module>() 	Day Data Ended
[2023-02-10 12:10:48,036] 	INFO 	28 	pair_data.py 	<module>() 	ID Data Started
[2023-02-10 12:11:15,427] 	INFO 	56 	pair_data.py 	<module>() 	ID Data Ended
[2023-02-10 12:11:15,427] 	INFO 	59 	pair_data.py 	<module>() 	Pair Data Started
[2023-02-10 12:11:37,948] 	INFO 	131 	pair_data.py 	<module>() 	Pair Data Ended
[2023-02-10 13:15:17,001] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-02-10 13:15:19,124] 	INFO 	60 	day_data.py 	<module>() 	Day Data Ended
[2023-02-10 13:15:20,380] 	INFO 	28 	pair_data.py 	<module>() 	ID Data Started
[2023-02-10 13:15:36,412] 	INFO 	56 	pair_data.py 	<module>() 	ID Data Ended
[2023-02-10 13:15:36,413] 	INFO 	59 	pair_data.py 	<module>() 	Pair Data Started
[2023-02-10 13:16:03,384] 	INFO 	131 	pair_data.py 	<module>() 	Pair Data Ended
[2023-02-10 14:05:08,454] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-02-10 14:05:11,449] 	INFO 	60 	day_data.py 	<module>() 	Day Data Ended
[2023-02-10 14:05:12,328] 	INFO 	28 	pair_data.py 	<module>() 	ID Data Started
[2023-02-10 14:05:32,725] 	INFO 	56 	pair_data.py 	<module>() 	ID Data Ended
[2023-02-10 14:05:32,726] 	INFO 	59 	pair_data.py 	<module>() 	Pair Data Started
[2023-02-10 14:05:59,318] 	INFO 	131 	pair_data.py 	<module>() 	Pair Data Ended
[2023-02-10 15:06:05,257] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-02-10 15:06:06,918] 	INFO 	60 	day_data.py 	<module>() 	Day Data Ended
[2023-02-10 15:06:08,019] 	INFO 	28 	pair_data.py 	<module>() 	ID Data Started
[2023-02-10 15:06:25,991] 	INFO 	56 	pair_data.py 	<module>() 	ID Data Ended
[2023-02-10 15:06:25,991] 	INFO 	59 	pair_data.py 	<module>() 	Pair Data Started
[2023-02-10 15:06:49,909] 	INFO 	131 	pair_data.py 	<module>() 	Pair Data Ended
[2023-02-10 16:07:40,854] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-02-10 16:07:45,120] 	INFO 	60 	day_data.py 	<module>() 	Day Data Ended
[2023-02-10 16:07:46,088] 	INFO 	28 	pair_data.py 	<module>() 	ID Data Started
[2023-02-10 16:08:18,813] 	INFO 	56 	pair_data.py 	<module>() 	ID Data Ended
[2023-02-10 16:08:18,813] 	INFO 	59 	pair_data.py 	<module>() 	Pair Data Started
[2023-02-10 16:08:40,432] 	INFO 	131 	pair_data.py 	<module>() 	Pair Data Ended
[2023-02-10 17:04:39,823] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-02-10 17:04:42,248] 	INFO 	60 	day_data.py 	<module>() 	Day Data Ended
[2023-02-10 17:04:43,154] 	INFO 	28 	pair_data.py 	<module>() 	ID Data Started
[2023-02-10 17:05:04,024] 	INFO 	56 	pair_data.py 	<module>() 	ID Data Ended
[2023-02-10 17:05:04,024] 	INFO 	59 	pair_data.py 	<module>() 	Pair Data Started
[2023-02-10 17:05:25,706] 	INFO 	131 	pair_data.py 	<module>() 	Pair Data Ended
[2023-02-10 18:07:59,265] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
